text,label,split,confidence,lang,augmented
"Air pollution is increasing in urban areas",environment,train,1.0,en,false
"Many students lack access to quality education",education,train,1.0,en,false
"Healthcare systems need better AI support",health,train,1.0,en,false
"Climate change affects global food supply",environment,train,1.0,en,false
"Online learning improves accessibility",education,train,1.0,en,false
"AI can assist doctors in diagnosis",health,train,1.0,en,false
"Deforestation is destroying natural habitats",environment,train,1.0,en,false
"E-waste recycling needs urgent attention",environment,train,0.95,en,false
"Scholarship programs help underprivileged learners",education,train,1.0,en,false
"Rural schools face teacher shortages",education,train,1.0,en,false
"Wearable devices monitor heart conditions remotely",health,train,1.0,en,false
"Mental health awareness campaigns save lives",health,train,0.95,en,false
"Ocean acidification threatens marine biodiversity",environment,train,1.0,en,false
"Vocational training bridges the skills gap",education,train,1.0,en,false
"Telemedicine expands healthcare to remote regions",health,train,1.0,en,false
"Carbon emissions from transport are rising",environment,train,1.0,en,false
"AI tutors adapt to individual learning paces",education,train,0.9,en,true
"Robotic surgery improves precision in operations",health,train,0.9,en,true
"Soil degradation reduces agricultural yields",environment,train,1.0,en,false
"Free online courses democratize knowledge",education,train,0.95,en,false
"Predictive analytics forecast disease outbreaks",health,train,0.9,en,true
"Plastic pollution chokes ocean ecosystems",environment,train,1.0,en,false
"Literacy rates improve with community programs",education,train,1.0,en,false
"Electronic health records reduce medical errors",health,train,0.95,en,false
"Sustainable farming protects biodiversity",environment,train,1.0,en,false
"Gamification boosts student engagement",education,train,0.9,en,true
"AI-driven drug discovery accelerates cures",health,train,0.9,en,true
"Urban green spaces reduce heat islands",environment,train,1.0,en,false
"Open textbooks lower education costs",education,train,0.95,en,false
"Remote patient monitoring lowers readmissions",health,train,0.9,en,true
"Water scarcity impacts millions globally",environment,train,1.0,en,false
"Peer mentoring improves graduation rates",education,train,0.95,en,false
"AI triage systems prioritize emergency care",health,train,0.85,en,true
"Renewable energy adoption is accelerating",environment,train,1.0,en,false
"Bilingual education supports diverse learners",education,train,0.95,en,false
"Vaccine distribution logistics need AI optimization",health,train,0.9,en,true
"Melting glaciers threaten freshwater supplies",environment,train,1.0,en,false
"STEM programs inspire next-gen innovators",education,train,0.95,en,false
"AI chatbots provide 24/7 mental health support",health,train,0.85,en,true
"Overfishing depletes marine food chains",environment,train,1.0,en,false
"Mobile libraries reach underserved communities",education,train,0.95,en,false
"Wearable ECG monitors detect arrhythmias early",health,train,0.9,en,true
"Smog alerts trigger public health warnings",environment,train,1.0,en,false
"Student exchange programs broaden perspectives",education,train,0.9,en,false
"AI pathology tools improve biopsy accuracy",health,train,0.9,en,true
"Wildfire frequency increases with drought",environment,train,1.0,en,false
